Area_name,STCOU,POP370180F,POP370180D,POP370180N1,POP370180N2,POP370190F,POP370190D,POP370190N1,POP370190N2,POP380200F,POP380200D,POP380200N1,POP380200N2,POP380210F,POP380210D,POP380210N1,POP380210N2,POP385200F,POP385200D,POP385200N1,POP385200N2,POP385210F,POP385210D,POP385210N1,POP385210N2,POP390200F,POP390200D,POP390200N1,POP390200N2,POP390210F,POP390210D,POP390210N1,POP390210N2,POP395200F,POP395200D,POP395200N1,POP395200N2,POP395210F,POP395210D,POP395210N1,POP395210N2
UNITED STATES,0,0.0,6758319.0,0,0,0.0,9804847.0,0,0,0.0,15359073.0,0,0,0.0,19107368.0,0,0,0.0,5.5,0,0,0.0,6.2,0,0,0.0,6826228.0,0,0,0.0,9009073.0,0,0,0.0,2.4,0,0,0.0,2.9,0,0
ALABAMA,1000,0.0,7615.0,0,0,0.0,5782.0,0,0,0.0,28998.0,0,0,0.0,96910.0,0,0,0.0,0.7,0,0,0.0,2.0,0,0,0.0,44179.0,0,0,0.0,71251.0,0,0,0.0,1.0,0,0,0.0,1.5,0,0
"Autauga, AL",1001,0.0,80.0,0,0,0.0,42.0,0,0,0.0,165.0,0,0,0.0,466.0,0,0,0.0,0.4,0,0,0.0,0.9,0,0,0.0,405.0,0,0,0.0,869.0,0,0,0.0,0.9,0,0,0.0,1.6,0,0
"Baldwin, AL",1003,0.0,140.0,0,0,0.0,224.0,0,0,0.0,755.0,0,0,0.0,3631.0,0,0,0.0,0.5,0,0,0.0,2.0,0,0,0.0,1466.0,0,0,0.0,2723.0,0,0,0.0,1.0,0,0,0.0,1.5,0,0
"Barbour, AL",1005,0.0,5.0,0,0,0.0,15.0,0,0,0.0,265.0,0,0,0.0,894.0,0,0,0.0,0.9,0,0,0.0,3.3,0,0,0.0,212.0,0,0,0.0,258.0,0,0,0.0,0.7,0,0,0.0,0.9,0,0
"Bibb, AL",1007,0.0,6.0,0,0,0.0,10.0,0,0,0.0,61.0,0,0,0.0,185.0,0,0,0.0,0.3,0,0,0.0,0.8,0,0,0.0,107.0,0,0,0.0,203.0,0,0,0.0,0.5,0,0,0.0,0.9,0,0
"Blount, AL",1009,0.0,26.0,0,0,0.0,164.0,0,0,0.0,1054.0,0,0,0.0,2347.0,0,0,0.0,2.1,0,0,0.0,4.1,0,0,0.0,519.0,0,0,0.0,684.0,0,0,0.0,1.0,0,0,0.0,1.2,0,0
"Bullock, AL",1011,0.0,4.0,0,0,0.0,2.0,0,0,0.0,43.0,0,0,0.0,569.0,0,0,0.0,0.4,0,0,0.0,5.2,0,0,0.0,82.0,0,0,0.0,86.0,0,0,0.0,0.7,0,0,0.0,0.8,0,0
"Butler, AL",1013,0.0,5.0,0,0,0.0,2.0,0,0,0.0,11.0,0,0,0.0,48.0,0,0,0.0,0.1,0,0,0.0,0.2,0,0,0.0,84.0,0,0,0.0,161.0,0,0,0.0,0.4,0,0,0.0,0.8,0,0
"Calhoun, AL",1015,0.0,645.0,0,0,0.0,418.0,0,0,0.0,667.0,0,0,0.0,1894.0,0,0,0.0,0.6,0,0,0.0,1.6,0,0,0.0,1081.0,0,0,0.0,1975.0,0,0,0.0,1.0,0,0,0.0,1.7,0,0
"Chambers, AL",1017,0.0,36.0,0,0,0.0,26.0,0,0,0.0,43.0,0,0,0.0,214.0,0,0,0.0,0.1,0,0,0.0,0.6,0,0,0.0,209.0,0,0,0.0,385.0,0,0,0.0,0.6,0,0,0.0,1.1,0,0
"Cherokee, AL",1019,0.0,2.0,0,0,0.0,23.0,0,0,0.0,83.0,0,0,0.0,123.0,0,0,0.0,0.3,0,0,0.0,0.5,0,0,0.0,198.0,0,0,0.0,387.0,0,0,0.0,0.8,0,0,0.0,1.5,0,0
"Chilton, AL",1021,0.0,8.0,0,0,0.0,36.0,0,0,0.0,599.0,0,0,0.0,1854.0,0,0,0.0,1.5,0,0,0.0,4.2,0,0,0.0,275.0,0,0,0.0,506.0,0,0,0.0,0.7,0,0,0.0,1.2,0,0
"Choctaw, AL",1023,0.0,13.0,0,0,0.0,6.0,0,0,0.0,17.0,0,0,0.0,28.0,0,0,0.0,0.1,0,0,0.0,0.2,0,0,0.0,67.0,0,0,0.0,58.0,0,0,0.0,0.4,0,0,0.0,0.4,0,0
"Clarke, AL",1025,0.0,11.0,0,0,0.0,8.0,0,0,0.0,45.0,0,0,0.0,67.0,0,0,0.0,0.2,0,0,0.0,0.3,0,0,0.0,136.0,0,0,0.0,176.0,0,0,0.0,0.5,0,0,0.0,0.7,0,0
"Clay, AL",1027,0.0,3.0,0,0,0.0,6.0,0,0,0.0,66.0,0,0,0.0,172.0,0,0,0.0,0.5,0,0,0.0,1.2,0,0,0.0,112.0,0,0,0.0,235.0,0,0,0.0,0.8,0,0,0.0,1.7,0,0
"Cleburne, AL",1029,0.0,7.0,0,0,0.0,26.0,0,0,0.0,48.0,0,0,0.0,151.0,0,0,0.0,0.3,0,0,0.0,1.0,0,0,0.0,109.0,0,0,0.0,160.0,0,0,0.0,0.8,0,0,0.0,1.1,0,0
"Coffee, AL",1031,0.0,129.0,0,0,0.0,141.0,0,0,0.0,390.0,0,0,0.0,1623.0,0,0,0.0,0.9,0,0,0.0,3.2,0,0,0.0,730.0,0,0,0.0,1247.0,0,0,0.0,1.7,0,0,0.0,2.5,0,0
"Colbert, AL",1033,0.0,33.0,0,0,0.0,48.0,0,0,0.0,187.0,0,0,0.0,510.0,0,0,0.0,0.3,0,0,0.0,0.9,0,0,0.0,487.0,0,0,0.0,845.0,0,0,0.0,0.9,0,0,0.0,1.6,0,0
"Conecuh, AL",1035,0.0,2.0,0,0,0.0,10.0,0,0,0.0,12.0,0,0,0.0,97.0,0,0,0.0,0.1,0,0,0.0,0.7,0,0,0.0,84.0,0,0,0.0,132.0,0,0,0.0,0.6,0,0,0.0,1.0,0,0
"Coosa, AL",1037,0.0,7.0,0,0,0.0,1.0,0,0,0.0,76.0,0,0,0.0,135.0,0,0,0.0,0.6,0,0,0.0,1.2,0,0,0.0,107.0,0,0,0.0,103.0,0,0,0.0,0.9,0,0,0.0,0.9,0,0
"Covington, AL",1039,0.0,18.0,0,0,0.0,30.0,0,0,0.0,63.0,0,0,0.0,135.0,0,0,0.0,0.2,0,0,0.0,0.4,0,0,0.0,233.0,0,0,0.0,522.0,0,0,0.0,0.6,0,0,0.0,1.4,0,0
"Crenshaw, AL",1041,0.0,9.0,0,0,0.0,5.0,0,0,0.0,27.0,0,0,0.0,99.0,0,0,0.0,0.2,0,0,0.0,0.7,0,0,0.0,95.0,0,0,0.0,202.0,0,0,0.0,0.7,0,0,0.0,1.5,0,0
"Cullman, AL",1043,0.0,36.0,0,0,0.0,58.0,0,0,0.0,477.0,0,0,0.0,1759.0,0,0,0.0,0.6,0,0,0.0,2.2,0,0,0.0,795.0,0,0,0.0,889.0,0,0,0.0,1.0,0,0,0.0,1.1,0,0
"Dale, AL",1045,0.0,520.0,0,0,0.0,451.0,0,0,0.0,634.0,0,0,0.0,882.0,0,0,0.0,1.3,0,0,0.0,1.8,0,0,0.0,1054.0,0,0,0.0,1505.0,0,0,0.0,2.1,0,0,0.0,3.0,0,0
"Dallas, AL",1047,0.0,200.0,0,0,0.0,14.0,0,0,0.0,67.0,0,0,0.0,84.0,0,0,0.0,0.1,0,0,0.0,0.2,0,0,0.0,255.0,0,0,0.0,299.0,0,0,0.0,0.5,0,0,0.0,0.7,0,0
"DeKalb, AL",1049,0.0,47.0,0,0,0.0,85.0,0,0,0.0,1998.0,0,0,0.0,7051.0,0,0,0.0,3.1,0,0,0.0,9.9,0,0,0.0,1041.0,0,0,0.0,1574.0,0,0,0.0,1.6,0,0,0.0,2.2,0,0
"Elmore, AL",1051,0.0,63.0,0,0,0.0,55.0,0,0,0.0,313.0,0,0,0.0,938.0,0,0,0.0,0.5,0,0,0.0,1.2,0,0,0.0,685.0,0,0,0.0,1144.0,0,0,0.0,1.0,0,0,0.0,1.4,0,0
"Escambia, AL",1053,0.0,24.0,0,0,0.0,41.0,0,0,0.0,154.0,0,0,0.0,343.0,0,0,0.0,0.4,0,0,0.0,0.9,0,0,0.0,434.0,0,0,0.0,580.0,0,0,0.0,1.1,0,0,0.0,1.5,0,0
